key_cricsheet,cricsheet_name,unique_name,full_name,sex,birth_date,birth_place,birth_nation,death_date
00d07580,Andrew Crozier,Andrew R Crozier,Andrew Crozier,male,1974-02-14,,,
02ba88e3,LB Gcuma,Lubabalo Babalo Gcuma,Lubabalo Gcuma,male,1976-05-13,Durban,South Africa,
039923bd,S Dambanevana,Sarah Dambanevana,Sarah Dambanevana,female,1990-05-26,,,
0443414a,Sajedul Islam,Sajedul Islam,Sajedul Islam,male,1988-01-18,Rangpur,Bangladesh,
0aa42c26,Troy Penman,Troy Penman,Troy Penman,male,1987-05-01,,,
1008518c,Tariq Rasheed,Tariq Rasheed Sheikh,Tariq Rasheed,male,1978-03-10,Lahore,Pakistan,
129709f9,N Perera,Thuse Perera Liyanaralalage Nimali Dinushani Perera,Nimali Perera,female,1990-12-13,Kaluthara,Sri Lanka,
1342d8d8,Ali Arman,Ali Arman,Ali Arman,male,1983-12-12,Dhaka,Bangladesh,
13fa6ffc,RMPJ Rambukwella,Rambukkana Maggonage Prageeth Jayashantha Rambukwella,Prageeth Rambukwella,male,1976-01-22,Moratuwa,Sri Lanka,
140cdf29,REJ Martinesz,Ranmore Etholson John Martinesz,Ranmore Martinesz,male,1967-06-24,Colombo,Sri Lanka,
144e5b16,VG Rathi,Vrinda Ghanshyam Rathi,Vrinda Rathi,female,1989-02-14,Mumbai,India,
156c8fb1,R Black,Roland Black,Roly Black,male,1971-07-22,Londonderry,Northern Ireland,
18aca3ce,MW Graham-Smith,Michael Wayne Graham-Smith,Michael Graham-Smith,male,1969-08-05,Burnie,Australia,
1ace56d4,GO Brathwaite,Gregory O'Brian Brathwaite,Gregory Brathwaite,male,1969-12-09,St Philip,Barbados,
1dbc4a64,L McCabe,Lisa McCabe,Lisa McCabe,female,1982-05-20,,,
20672246,RK Illingworth,Richard Keith Illingworth,Richard Illingworth,male,1963-08-23,Bradford,England,
20abf9b9,Rokeya Sultana,Rokeya Sultana Mishu Chowdhury,Rokeya Sultana,female,1990-03-03,Bogra,Bangladesh,
20e3ae99,Gayathri Venugopal,Gayathri Venugopalan,Gayathri Venugopalan,female,1979-06-07,Chennai,India,
25bcf808,PA Gustard,Patrick Antony Gustard,Patrick Gustard,male,1971-09-14,Clarendon,Jamaica,
26a360d2,CA Polosak,Claire Antonia Polosak,Claire Polosak,female,1988-04-07,Goulburn,Australia,
2821c99e,Dolly Rani,Dolly Rani Sarkar,Dolly Rani,female,1989-07-05,Naogaon,Bangladesh,
2ae7a044,Kamruzzaman Limon,MD Kamruzzaman Limon,Kamruzzaman Limon,male,1992-06-07,,,
2e0fcc58,AG Wharf,Alexander George Wharf,Alex Wharf,male,1975-06-04,Bradford,England,
3144063a,KN Ananthapadmanabhan,Karumanaseri Narayanaiyer Ananthapadmanabhan,KN Ananthapadmanabhan,male,1969-09-08,Thiruvananthapuram,India,
323e4c16,HDPK Dharmasena,Handunnettige Deepthi Priyantha Kumar Dharmasena,Kumar Dharmasena,male,1971-04-24,Colombo,Sri Lanka,
36e0770d,GD Lloyd,Graham David Lloyd,Graham Lloyd,male,1969-07-01,Accrington,England,
38810cfc,RJ Tucker,Rodney James Tucker,Rod Tucker,male,1964-08-28,Sydney,Australia,
3c04e91a,LE Hannibal,Lyndon Edward Hannibal,Lyndon Hannibal,male,1965-11-20,Colombo,Sri Lanka,
3e253a50,PJ Gillespie,Phillip J. Gillespie,Phillip Gillespie,male,1975-09-23,Melbourne,Australia,
4017868f,RA Kettleborough,Richard Allan Kettleborough,Richard Kettleborough,male,1973-03-15,Sheffield,England,
