alias_name,alias_city,alias_nation,venue_id
MA Chidambaram Stadium,Chennai,India,1ind1
Dr DY Patil Sports Academy,Navi Mumbai,India,2ind2
Shrimant Madhavrao Scindia Cricket Stadium,Gwalior,India,3ind3
Rajiv Gandhi International Stadium,Hyderabad,India,4ind4
Arun Jaitley Stadium,Delhi,India,5ind5
Sabina Park,Jamaica,Jamaica,1jam6
Sabina Park,Kingston,Jamaica,1jam6
Gaddafi Stadium,Lahore,Pakistan,1pak7
National Stadium,Karachi,Pakistan,2pak8
Southend Club Cricket Stadium,Karachi,Pakistan,3pak9
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,4pak10
Multan Cricket Stadium,Multan,Pakistan,5pak11
Boland Park,Paarl,South Africa,1zaf12
Boland Bank Park,Paarl,South Africa,1zaf12
Diamond Oval,Kimberley,South Africa,2zaf13
De Beers Diamond Oval,Kimberley,South Africa,2zaf13
Mangaung Oval,Bloemfontein,South Africa,3zaf14
OUTsurance Oval,Bloemfontein,South Africa,3zaf14
New Wanderers Stadium,Johannesburg,South Africa,4zaf15
The Wanderers Stadium,Johannesburg,South Africa,4zaf15
St George's Park,Port Elizabeth,South Africa,5zaf16
St George's Park,Gqeberha,South Africa,5zaf16
SuperSport Park,Centurion,South Africa,6zaf17
Senwes Park,Potchefstroom,South Africa,7zaf18
Newlands,Cape Town,South Africa,8zaf19
Kingsmead,Durban,South Africa,9zaf20
Willowmoore Park,Benoni,South Africa,10zaf21
Buffalo Park,East London,South Africa,11zaf22
City Oval,Pietermaritzburg,South Africa,12zaf23
Moses Mabhida Stadium,Durban,South Africa,13zaf24
LC de Villiers Oval,Pretoria,South Africa,14zaf25
County Ground,Brighton,England,1eng26
County Ground,Hove,England,1eng26
Lord's,London,England,2eng27
The Rose Bowl,Southampton,England,3eng28
Edgbaston,Birmingham,England,4eng29
Trent Bridge,Nottingham,England,5eng30
Old Trafford,Manchester,England,6eng31
Arundel Castle Cricket Club Ground,Arundel,England,7eng32
Riverside Ground,Chester-le-Street,England,8eng33
