venue_id,venue_name,city,admin_area_1,admin_area_2,nation,nation_code,continent,hemisphere,home_team_id_1,home_team_id_2,latitude,longitude,elevation,dist2coast_coarse,dist2coast_fine,timezone,utc_offset_str
1ind1,MA Chidambaram Stadium,Chennai,Tamil Nadu,Chennai,India,IND,Asia,N,indMT20,indFT20,13.0627521,80.2784304,9,0,1.0031483339801308,Asia/Kolkata,+05:30
2ind2,Dr DY Patil Sports Academy,Mumbai,Maharashtra,Thane,India,IND,Asia,N,indMT20,indFT20,19.0412987,73.0263854,10,2,2.743753230090156,Asia/Kolkata,+05:30
3ind3,Shrimant Madhavrao Scindia Cricket Stadium,Gwalior,Madhya Pradesh,Gwalior,India,IND,Asia,N,indMT20,indFT20,26.2347456,78.1254686,214,688,,Asia/Kolkata,+05:30
4ind4,Rajiv Gandhi International Stadium,Hyderabad,Telangana,Rangareddi,India,IND,Asia,N,indMT20,indFT20,17.4059481,78.5505638,501,265,264.91527910094027,Asia/Kolkata,+05:30
5ind5,Arun Jaitley Stadium,Delhi,NCT,New Delhi,India,IND,Asia,N,indMT20,indFT20,28.6377017,77.2431069,210,829,,Asia/Kolkata,+05:30
1jam6,Sabina Park,Kingston,Kingston,,Jamaica,JAM,America,N,wiMT20,wiFT20,17.9779974,-76.7825867,35,1,1.4995165112696642,America/Jamaica,-05:00
1pak7,Gaddafi Stadium,Lahore,Punjab,,Pakistan,PAK,Asia,N,pakMT20,pakFT20,31.5133615,74.3334644,211,1005,,Asia/Karachi,+05:00
2pak8,National Stadium,Karachi,Sindh,Karachi District,Pakistan,PAK,Asia,N,pakMT20,pakFT20,24.8952212,67.0816725,49,10,8.119714088819135,Asia/Karachi,+05:00
3pak9,Southend Club Cricket Stadium,Karachi,Sindh,Karachi District,Pakistan,PAK,Asia,N,pakMT20,pakFT20,24.795818,67.056391,5,1,1.5573627440988609,Asia/Karachi,+05:00
4pak10,Rawalpindi Cricket Stadium,Rawalpindi,Punjab,,Pakistan,PAK,Asia,N,pakMT20,pakFT20,33.6511816,73.07598,505,1096,,Asia/Karachi,+05:00
5pak11,Multan Cricket Stadium,Multan,Punjab,,Pakistan,PAK,Asia,N,pakMT20,pakFT20,30.170783,71.5247746,124,709,,Asia/Karachi,+05:00
1zaf12,Boland Park,Paarl,Western Cape,Cape Winelands District Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-33.7406522,18.9974819,151,42,43.20256004554676,Africa/Johannesburg,+02:00
2zaf13,Diamond Oval,Kimberley,Northern Cape,Frances Baard District Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-28.7426421,24.7967746,1217,551,,Africa/Johannesburg,+02:00
3zaf14,Mangaung Oval,Bloemfontein,Orange Free State,Mangaung Metropolitan Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-29.116718,26.2052381,1401,419,,Africa/Johannesburg,+02:00
4zaf15,The Wanderers Stadium,Johannesburg,Gauteng,City of Johannesburg Metropolitan Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-26.1311637,28.0574107,1626,444,,Africa/Johannesburg,+02:00
5zaf16,St George's Park,Gqeberha,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-33.966541,25.610185,73,3,1.674407496782301,Africa/Johannesburg,+02:00
6zaf17,SuperSport Park,Centurion,Gauteng,City of Tshwane Metropolitan Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-25.8596238,28.1956445,1421,430,,Africa/Johannesburg,+02:00
7zaf18,Senwes Park,Potchefstroom,North-West,Dr Kenneth Kaunda District Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-26.6954244,27.1002894,1340,511,,Africa/Johannesburg,+02:00
8zaf19,Newlands,Cape Town,Western Cape,City of Cape Town,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-33.9738546,18.4678094,28,7,6.232187957202124,Africa/Johannesburg,+02:00
9zaf20,Kingsmead,Durban,KwaZulu-Natal,eThekwini Metropolitan Municipality,South Africa,ZAF,Africa,S,zafMT20,zafFT20,-29.8495671,31.0277475,10,0,1.0148792365086583,Africa/Johannesburg,+02:00
