match_id,innings,pp_runs,overs,total_wickets_lost,spin_wickets_lost,pace_wickets_lost,batting_team,bowling_team,sex,sex,toss_winner,winner
1375850,1,77,6,0,0,0,Australia,West Indies,male,male,0,1
1375850,2,72,6,0,0,0,West Indies,Australia,male,male,0,0
1375851,1,58,6,2,0,2,Australia,West Indies,male,male,0,1
1375851,2,62,6,4,0,4,West Indies,Australia,male,male,0,0
1375852,1,55,6,3,0,3,West Indies,Australia,male,male,0,1
1375852,2,61,6,0,0,0,Australia,West Indies,male,male,0,0
1375869,1,33,6,2,0,2,South Africa,Australia,female,female,0,0
1375869,2,49,6,0,0,0,Australia,South Africa,female,female,0,1
1375870,1,42,6,0,0,0,Australia,South Africa,female,female,0,0
1375870,2,41,6,0,0,0,South Africa,Australia,female,female,0,1
1375871,1,36,6,2,1,1,South Africa,Australia,female,female,0,0
1375871,2,53,6,1,1,0,Australia,South Africa,female,female,0,1
1385688,1,53,6,1,1,0,England,Pakistan,male,male,0,1
1385688,2,55,6,2,1,1,Pakistan,England,male,male,0,0
1385690,1,59,6,1,0,1,Pakistan,England,male,male,0,0
1385690,2,78,6,0,0,0,England,Pakistan,male,male,0,1
1385697,1,86,6,1,0,1,Australia,England,male,male,0,1
1385697,2,46,6,3,0,3,England,Australia,male,male,0,0
1385698,1,67,6,1,0,1,Australia,England,male,male,0,0
1385698,2,65,6,2,0,2,England,Australia,male,male,0,1
1388202,1,41,6,1,1,0,England,New Zealand,female,female,0,1
1388202,2,44,6,1,0,1,New Zealand,England,female,female,0,0
1388203,1,34,6,2,0,2,England,New Zealand,female,female,0,1
1388203,2,48,6,1,1,0,New Zealand,England,female,female,0,0
1388204,1,40,6,0,0,0,New Zealand,England,female,female,0,1
1388204,2,60,6,0,0,0,England,New Zealand,female,female,0,0
1388205,1,35,6,1,0,1,England,New Zealand,female,female,0,1
1388205,2,47,6,2,1,1,New Zealand,England,female,female,0,0
1388206,1,29,6,3,1,2,New Zealand,England,female,female,0,0
1388206,2,33,6,1,0,1,England,New Zealand,female,female,0,1
1388216,1,56,6,2,0,2,New Zealand,Pakistan,male,male,0,1
1388216,2,64,6,1,0,1,Pakistan,New Zealand,male,male,0,0
1388217,1,65,6,1,0,1,New Zealand,Pakistan,male,male,0,1
1388217,2,61,6,2,0,2,Pakistan,New Zealand,male,male,0,0
1388218,1,67,6,1,0,1,New Zealand,Pakistan,male,male,0,1
1388218,2,52,6,1,0,1,Pakistan,New Zealand,male,male,0,0
1388219,1,51,6,1,0,1,Pakistan,New Zealand,male,male,0,0
1388219,2,38,6,3,0,3,New Zealand,Pakistan,male,male,0,1
1388220,1,29,6,1,0,1,Pakistan,New Zealand,male,male,0,1
1388220,2,35,6,2,1,1,New Zealand,Pakistan,male,male,0,0
1388223,1,68,6,1,0,1,New Zealand,Australia,male,male,0,0
1388223,2,56,6,1,0,1,Australia,New Zealand,male,male,0,1
1388224,1,74,6,1,0,1,Australia,New Zealand,male,male,0,1
1388224,2,27,6,3,0,3,New Zealand,Australia,male,male,0,0
1388225,1,67,6,2,0,2,Australia,New Zealand,male,male,0,1
1388225,2,33,3,2,1,1,New Zealand,Australia,male,male,0,0
1398261,1,55,6,1,1,0,South Africa,Sri Lanka,female,female,0,1
1398261,2,42,6,2,0,2,Sri Lanka,South Africa,female,female,0,0
1398262,1,48,6,1,0,1,South Africa,Sri Lanka,female,female,0,0
1398262,2,37,6,1,0,1,Sri Lanka,South Africa,female,female,0,1
1398263,1,50,6,1,1,0,South Africa,Sri Lanka,female,female,0,0
1398263,2,48,6,1,1,0,Sri Lanka,South Africa,female,female,0,1
1398268,1,29,6,3,1,2,England,Pakistan,female,female,0,1
1398268,2,57,6,2,1,1,Pakistan,England,female,female,0,0
1398269,1,48,6,1,0,1,England,Pakistan,female,female,0,1
1398269,2,41,6,3,1,2,Pakistan,England,female,female,0,0
1398270,1,40,6,0,0,0,England,Pakistan,female,female,0,1
1398270,2,45,6,0,0,0,Pakistan,England,female,female,0,0
1398277,1,52,6,0,0,0,England,New Zealand,female,female,0,1
1398277,2,45,6,0,0,0,New Zealand,England,female,female,0,0
1398278,1,24,3,1,0,1,England,New Zealand,female,female,0,1
1398278,2,16,3,2,0,2,New Zealand,England,female,female,0,0
1398279,1,47,6,1,0,1,New Zealand,England,female,female,0,0
1398279,2,50,6,1,0,1,England,New Zealand,female,female,0,1
1398280,1,33,6,0,0,0,New Zealand,England,female,female,0,0
1398280,2,64,6,1,0,1,England,New Zealand,female,female,0,1
1398281,1,40,6,2,2,0,England,New Zealand,female,female,0,1
1398281,2,31,6,2,0,2,New Zealand,England,female,female,0,0
1406081,1,33,6,4,0,4,Australia,India,female,female,0,0
1406081,2,59,6,0,0,0,India,Australia,female,female,0,1
1406082,1,33,6,2,0,2,India,Australia,female,female,0,0
1406082,2,47,6,0,0,0,Australia,India,female,female,0,1
1406083,1,51,6,1,0,1,India,Australia,female,female,0,0
1406083,2,54,6,0,0,0,Australia,India,female,female,0,1
1412542,1,38,6,2,2,0,Zimbabwe,Sri Lanka,male,male,0,0
1412542,2,43,6,3,1,2,Sri Lanka,Zimbabwe,male,male,0,1
1412543,1,31,6,4,1,3,Sri Lanka,Zimbabwe,male,male,0,0
1412543,2,31,6,1,0,1,Zimbabwe,Sri Lanka,male,male,0,1
